sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT1	MT3	E5:GWh	E2:GWh	SPP	VSPP	REPL

ระยอง
BPN	บางพูน	ปทุมธานี	82.21001	21.535234	94249.56	12.860001	8.320797	116	23.3825	0	0	100	2	https://maps.google.com/?q=13.9751,100.5503	436	9243	457	299	266	0	0	0
KHC	คลองเจ็ด	ปทุมธานี	100.69	32.090267	140555.34	0	0	0	0	0	0	100	2	https://maps.google.com/?q=14.0355,100.7721	1310	39878	1146	459	407	0	0	0
KHL	คลองสี่	ปทุมธานี	110.479996	35.558857	155743.11	15.58	14.886666	9	4.9225	0	0	100	2	https://maps.google.com/?q=13.9406,100.7111	1265	22783	1348	447	399	0	1	0
KLO	คลองหลวง	ปทุมธานี	117.240005	49.217636	215566.89	8.51	8.426666	5	2.2	30	15	100	2	https://maps.google.com/?q=14.0667,100.7061	2284	33331	2621	1693	1511	0	1	0
KQA	คูคต	ปทุมธานี	59.909996	9.88747	43307.11	0	0	0	0	0	0	100	2	https://maps.google.com/?q=13.9483,100.6854	781	21650	946	177	158	0	0	0
LAK	ลาดหลุมแก้ว	ปทุมธานี	85.939995	30.672241	131914.69	10.37	4.8648467	3770	1530.123	0	0	100	2	https://maps.google.com/?q=14.0311,100.3856	1347	16934	1268	941	840	0	2	0
LLK	ลำลูกกา 1	ปทุมธานี	107.96	44.51268	194965.53	0	0	0	0	0	0	100	2	https://maps.google.com/?q=13.9473,100.7872	2163	23809	2309	1096	981	0	0	0
MUB	เมืองเอก 2	ปทุมธานี	48.23	17.374931	76101.37	1.63	1.63	1	0.4075	0	0	100	2	https://maps.google.com/?q=13.9724,100.6153	398	10441	1056	238	212	0	0	0
PQA	ปทุมธานี 1	ปทุมธานี	90.850006	33.03382	144449.98	10.8	4.930398	247	32.887497	0	0	100	2	https://maps.google.com/?q=14.0416,100.4744	1133	16698	868	785	700	0	1	0
PQB	ปทุมธานี 2	ปทุมธานี	77.1	26.841019	117563.516	0.48	0.48	1	0.12	0	0	100	2	https://maps.google.com/?q=13.9563,100.5128	1169	27196	1167	537	477	0	1	0
