sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT	E5:GWh	E2:GWh
BNL	??????? 1	???????????????	27.349998	6.4017587	28039.703	4.19	0.6975099	16627	2899.3743	4	2	90	2	"14.2498,100.6103"	151	206	292	261
BNM	??????? 2 (?)	???????????????	25.34	5.724755	25067.713	7.44	6.6359377	34	10.6175	0	0	90	2	"14.2407,100.6058"	77	79	141	126
BPH	?????????	???????????????	48.46	12.8807	49154.016	7.58	3.9161823	14959	10170.356	6	3	100	2	"14.4991,100.5913"	292	4602	306	273
BPI	????????	???????????????	47.73	10.850997	43992.742	31.18	13.918329	15162	13945.209	5	2.5	100	2	"14.5038,100.5193"	748	15901	321	287
BSA	??????	???????????????	73.11	24.350643	94858.15	20.7	7.7773943	9625	5571.505	8	4	100	2	"14.1781,100.4801"	658	10260	288	257
LBL	??????????	???????????????	46.2	14.27889	61175.03	15.549999	7.6282873	11541	4438.8843	7	3.5	100	2	"14.1920,100.2916"	1100	16542	379	337
NKL	???????	???????????????	51.670002	17.220972	75416.78	22.509998	16.791348	33	23.57	0	0	100	2	"14.4540,100.6679"	966	21534	552	492
RCN	????? 1	???????????????	40.5	4.015469	17586.62	2.1499999	2.1342306	27	0.62249994	0	0	80	2	"14.3204,100.6426"	246	344	493	441
RCO	????? 2	???????????????	94.869995	32.56225	140872.47	40.33	25.919298	5489	2035.926	8	4	100	2	"14.3052,100.6144"	1477	30172	872	777
RCQ	????? 3	???????????????	24.73	12.761535	53079.344	5.54	2.112956	3637	1438.3284	6	3	100	2	"14.3273,100.6683"	248	3572	288	258
RCR	????? 4	???????????????	41.440002	10.421298	45645.28	0	0	0	0	0	0	100	3	"14.3437,100.6836"	388	6242	242	216
RCS	????? 5	???????????????	55.860004	10.007471	43791.547	3.48	1.7910637	1754	242.46751	5	2.5	100	2	"14.3371,100.6335"	122	134	250	224
